District,rural/urban,Male,Female,Total,Households,Area_in_Sq_Km,_Household_Density_,Population_Density,Gender_Index,County,Location,Location_1,Province,OBJECTID
NAIROBI WEST,Rural,0,0,0,0,0,,,,NAIROBI,"NAIROBI WEST, NAIROBI Kenya
",,36.79920201,0
NAIROBI EAST,Rural,0,0,0,0,0,,,,NAIROBI,"NAIROBI EAST, NAIROBI Kenya
",,36.967484,1
NAIROBI NORTH,Rural,0,0,0,0,0,,,,NAIROBI,"NAIROBI NORTH, NAIROBI Kenya
",,36.8911257,2
WESTLANDS,Rural,0,0,0,0,0,,,,NAIROBI,"WESTLANDS, NAIROBI Kenya
",,36.7882561,3
NYANDARUA NORTH,Rural,106111,109785,215896,52503,1394.69,37.640000,109861.082100,1.034624,CENTRAL,"NYANDARUA NORTH, CENTRAL Kenya
",,36.42343108,4
NYANDARUA SOUTH,Rural,131872,137982,269854,61936,1472.58,42.060000,138071.551700,1.046333,CENTRAL,"NYANDARUA SOUTH, CENTRAL Kenya
",,36.55651343,5
NYERI NORTH,Rural,141423,143971,285394,81307,2253.47,36.080000,144033.757900,1.018017,CENTRAL,"NYERI NORTH, CENTRAL Kenya
",,36.9811441,6
NYERI SOUTH,Rural,114557,123990,238547,66028,874.13,75.540000,124121.052600,1.082343,CENTRAL,"NYERI SOUTH, CENTRAL Kenya
",,36.89927916,7
KIRINYAGA,Rural,220494,224156,444650,126665,1402.71,90.300000,224313.191400,1.016608,CENTRAL,"KIRINYAGA, CENTRAL Kenya
",,37.32018369,8
MURANGA NORTH,Rural,151033,163375,314408,87030,913.79,95.240000,163540.282000,1.081717,CENTRAL,"MURANGA NORTH, CENTRAL Kenya
",,36.98118146,9
MURANGA SOUTH,Rural,156115,165195,321310,84114,762.77,110.270000,165399.668500,1.058162,CENTRAL,"MURANGA SOUTH, CENTRAL Kenya
",,37.05522802,10
KIAMBU EAST(KIAMBAA),Rural,22768,22306,45074,12468,100.4,124.180000,22532.772910,0.979708,CENTRAL,"KIAMBU EAST(KIAMBAA), CENTRAL Kenya
",,36.80546766,11
KIKUYU,Rural,424,398,822,251,4.78,52.510000,486.702929,0.938679,CENTRAL,"KIKUYU, CENTRAL Kenya
",,36.63360077,12
KIAMBU WEST,Rural,25493,25508,51001,13465,197.39,68.220000,25637.150410,1.000588,CENTRAL,"KIAMBU WEST, CENTRAL Kenya
",,36.62625892,13
