,Missing_Hand,Missing_Foot,Lame,Blind,Deaf,Dumb,Mental,Paralyzed,Other,Total_Count,Total_Cases,County
0,709,182,2012,169,65,247,807,3529,709,6512,7720,Baringo
1,0,0,1909,653,529,529,928,19,2530,6538,7097,Bomet
2,1619,0,6479,0,302,2739,1672,0,2884,13170,14076,Bungoma
3,0,0,951,818,306,2362,319,985,2089,6655,7830,Busia
4,0,0,1141,0,1285,0,719,453,266,3599,3864,Elgeyo Marakwet
5,0,0,3464,0,0,188,188,157,2628,6287,6625,Embu
6,0,691,0,0,0,0,210,210,961,1864,2072,Garissa
7,497,0,4952,1587,1492,1232,2677,2132,11445,23696,25517,Homa Bay
8,299,71,702,831,277,0,0,43,426,2154,2350,Isiolo
9,0,0,874,617,0,0,897,0,1478,3250,3866,Kajiado
10,274,0,8268,1867,137,1318,988,1730,14201,27468,28509,Kakamega
11,0,0,0,146,0,0,0,663,2249,3055,3058,Kericho
12,0,0,0,1020,0,0,7140,767,1171,10099,10098,Kiambu
13,174,0,2483,1273,965,496,2050,692,174,6996,8133,Kilifi
14,0,0,105,0,0,0,1675,847,0,2522,2627,Kirinyaga
15,0,635,673,1222,982,635,2127,1059,2291,9627,9624,Kisii
16,1521,0,6548,0,0,901,3544,600,8290,20026,19883,Kisumu
17,0,409,484,757,0,1602,779,854,334,4403,5219,Kitui
18,0,773,1241,629,0,1692,4294,544,1658,8503,10831,Kwale
19,0,0,825,0,0,1000,0,0,0,1825,1825,Laikipia
20,0,0,0,0,0,136,45,15,342,524,538,Lamu
21,0,0,2956,0,0,2416,4410,4222,13818,23460,27822,Machakos
22,0,0,2584,4874,727,1423,3048,1686,4719,15475,19061,Makueni
23,0,46,297,468,865,394,989,307,364,3343,3730,Mandera
24,58,381,636,338,739,377,456,939,719,3931,4585,Marsabit
25,0,0,6650,0,0,2223,2357,766,10963,19166,22959,Meru
26,921,1059,4515,215,614,0,1320,2365,4623,15359,14711,Migori
27,0,0,503,1326,0,54,909,1396,1223,5413,5411,Mombasa
28,0,0,1404,0,1464,3524,1727,859,1319,8512,10297,Murang'a
29,0,1881,3046,0,2613,1135,4421,164,2822,14936,16082,Nairobi
30,86,0,11878,0,0,1814,7256,2742,3390,21598,27080,Nakuru
31,0,1049,2963,807,1049,0,0,0,5661,11530,11529,Nandi
32,431,47,902,199,974,1780,1892,2595,1149,7986,9538,Narok
33,0,0,997,0,2373,2576,0,0,0,4727,5946,Nyamira
34,502,0,680,0,661,0,526,0,0,2369,1867,Nyandarua
35,0,385,985,385,600,234,787,0,0,2392,3376,Nyeri
36,298,257,813,566,265,187,182,0,0,2574,2270,Samburu
37,0,0,1406,1846,0,357,910,627,1481,6279,6627,Siaya
38,0,137,571,0,0,493,3082,756,218,3709,5257,Taita Taveta
39,0,0,1587,784,599,270,1206,340,299,3699,5085,Tana River
40,0,0,0,0,123,123,173,0,123,420,542,Tharaka Nithi
41,0,0,0,932,0,0,1691,0,5627,8251,8250,Trans Nzoia
42,0,0,0,615,135,0,0,1597,0,1733,2347,Turkana
43,0,0,1726,0,0,0,2533,668,5392,9281,10319,Uasin Gishu
44,0,0,7094,4627,2983,258,1879,0,6318,23490,23159,Vihiga
45,120,482,4684,742,742,1651,1178,1465,0,9276,10944,Wajir
46,0,682,1437,1028,0,0,0,1506,614,4874,5267,West Pokot
47,7648,9259,102657,31401,23752,36232,72866,40257,127617,402578,444041,Kenya average
