SNO,TOTAL_NO_OF_SCHOOLS,Total_Schools_Installed,Schools_Pending,Percentage_Installed,Installed_LDDs,Installed_TDDs,FID
TURKANA,358,37,321,10.34%,3744,74,1
HOMA BAY,875,552,323,63.09%,22982,1104,2
WEST POKOT,498,242,256,48.59%,15114,484,3
KITUI,1238,1200,38,96.93%,42162,2400,4
TANA RIVER,159,143,16,89.94%,7415,286,5
TAITA TAVETA,194,172,22,88.66%,6412,344,6
UASIN GISHU,456,353,103,77.41%,16024,706,7
MIGORI,601,413,188,68.72%,24453,826,8
VIHIGA,378,307,71,81.22%,18559,614,9
NYAMIRA,406,351,55,86.45%,14974,702,10
NAROK,616,573,43,93.02%,32809,1146,11
NANDI,709,673,36,94.92%,27780,1346,12
MOMBASA,96,86,10,89.58%,5764,172,13
MAKUENI,887,833,54,93.91%,30973,1666,14
LAMU,93,89,4,95.70%,3083,178,15
KISII,698,384,314,55.01%,21290,768,16
KISUMU,613,484,129,78.96%,26775,968,17
KAKAMEGA,880,572,308,65.00%,44338,1144,18
BUNGOMA,741,456,285,61.54%,38744,912,19
BOMET,632,501,131,79.27%,22695,1002,20
KILIFI,507,465,42,91.72%,30846,930,21
BUSIA,432,347,85,80.32%,27204,694,22
ElGEYO ,369,354,15,95.93%,13507,708,23
TRANS NZOIA,352,274,78,77.84%,22047,548,24
KWALE,364,342,22,93.96%,20425,684,25
SIAYA,643,442,201,68.74%,23914,884,26
KERICHO,503,219,284,43.54%,9392,438,27
MERU,714,404,310,56.58%,20135,808,28
GARISSA,163,31,132,19.02%,1569,62,29
LAIKIPIA,292,182,110,62.33%,5920,364,30
MANDERA,198,9,189,4.55%,1046,18,31
KIRINYAGA,199,166,33,83.42%,7735,332,32
ISIOLO,116,65,51,56.03%,3103,130,33
KIAMBU,481,240,241,49.90%,10394,480,34
MURANG'A,482,364,118,75.52%,14823,728,35
NYERI,392,147,245,37.50%,3891,294,36
WAJIR,211,11,200,5.21%,855,22,37
NYANDARUA,344,177,167,51.45%,5528,354,38
MARSABIT,138,8,130,5.80%,606,16,39
MACHAKOS,837,389,448,46.48%,13369,778,40
NAIROBI,203,122,81,60.10%,8563,244,41
NAKURU,691,340,351,49.20%,16064,680,42
THARAKA NITHI,413,259,154,62.71%,6665,518,43
BARINGO,635,322,313,50.71%,9705,644,44
KAJIADO,395,232,163,58.73%,8893,464,45
EMBU,381,248,133,65.09%,8438,496,46
SAMBURU,146,49,97,33.56%,2891,98,47
TOTAL,21729,14629,7100,67.32%,723618,29258,48
,,,,,,,49
,,,,,,,50
