COUNTY	SUB_COUNTY	ZONE	SCHOOL_ID	SCHOOL	LDDs	FID
GARISSA	FAFI	BURA /BURA	201460	NANIGHI	30	3001
HOMA BAY	NDHIWA	NDHIWA	219302	NDHIWA HOSPITAL	28	3002
HOMA BAY	SUBA	KIGOTO	219751	KICHARE	54	3003
HOMA BAY	SUBA	KIABUYA	219729	GOD OLOO	33	3004
HOMA BAY	RACHUONYO NORTH	KENDU	219453	KIDESWA	27	3005
GARISSA	IJARA	MASALANI	201545	IJARA GIRLS	25	3006
HOMA BAY	MBITA	LAMBWE	219133	NDHURU	48	3007
HOMA BAY	SUBA	KIGOTO	219752	KIEMBE	41	3008
HOMA BAY	NDHIWA	KOBAMA	219238	GOD POKO	36	3009
GARISSA	BALAMBALA	BALAMBALA	201427	MUDEY	38	3010
GARISSA	IJARA	MASALANI	201548	KOTILE	31	3011
Homa Bay	HOMA BAY	ASEGO	218961	NDIRU	58	3012
HOMA BAY	HOMA BAY                                          	ASEGO	218951	KIJAWA	25	3013
HOMA BAY	HOMA BAY SUB COUNTY	NDIRU	219022	GOD PONGE	32	3014
GARISSA	GARISSA	WABERI	201504	NASIB	115	3015
GARISSA	IJARA	MASALANI	201547	KORISSA	38	3016
GARISSA	IJARA	MASALANI	201552	RAHMA	29	3017
GARISSA	IJARA	MASALANI	201538	DAHIR	68	3018
GARISSA	LAGDERA	MODOGASHE	201572	MAALIM	50	3019
GARISSA	FAFI	BURA /BURA	201459	MANSABUBU	28	3020
GARISSA	FAFI	BURU/BURU 1	201468	GALMAGALA	40	3021
GARISSA	IJARA	MASALANI	201554	WARSAME	31	3022
GARISSA	IJARA	MASALANI	201553	SHABELE	30	3023
GARISSA	IJARA	MASALANI	201541	GABABA	30	3024
GARISSA	IJARA	MASALANI	201543	HARA	56	3025
GARISSA		BALAMBALA	201425	LIBAHLOW	56	3026
GARISSA		BALAMBALA	201419	DUJIS	55	3027
GARISSA		BALAMBALA	201507	SHABAH	18	3028
GARISSA		BALAMBALA	201486	SHIMBIREY	24	3029
GARISSA		BALAMBALA	201506	SANKURI	80	3030
GARISSA		LAGDERA	201558	BARAKI	38	3031
GARISSA		LAGDERA	201563	DIHLE NUR	31	3032
GARISSA		LAGDERA	201565	GEYLAB	40	3033
GARISSA		LAGDERA	201575	SARTA	28	3034
GARISSA		LAGDERA	201569	HAGARJARIR	35	3035
GARISSA		LAGDERA	201573	MADINA	39	3036
GARISSA		LAGDERA	201561	BENANE	74	3037
GARISSA		LAGDERA	201574	MODOGASHE BOARDING	60	3038
GARISSA		LAGDERA	201568	GURUFA	70	3039
GARISSA		LAGDERA	201560	BARKUKE	44	3040
GARISSA		LAGDERA	201570	JANJU	30	3041
GARISSA		LAGDERA	201567	GOSMO	15	3042
GARISSA		LAGDERA	201564	ELAN	90	3043
GARISSA		DADAAB	201434	ALANGO ARBA	42	3044
GARISSA		DADAAB	201442	WELHAR	120	3045
GARISSA		DADAAB	201444	DERTU	80	3046
GARISSA		FAFI	201453	BOREHOLE-5	38	3047
GARISSA		FAFI	201458	KAMUTHE	20	3048
GARISSA		FAFI	201456	GUYO	25	3049
GARISSA		FAFI	201450	ABAQDERA	57	3050
GARISSA		FAFI	201457	JAMBELE	56	3051
GARISSA		GARISSA	201479	HYUGA GIRLS	80	3052
GARISSA		GARISSA	201489	YATHRIB	70	3053
GARISSA		GARISSA	201501	JARIROT	33	3054
GARISSA		GARISSA	201495	BULA IFTIN	120	3055
GARISSA		GARISSA	201494	BOYSTOWN	80	3056
GARISSA		GARISSA	201503	NAJAH	51	3057
GARISSA		IJARA	201532	GERILLE	74	3058
HOMA BAY	HOMA BAY                                          	ASEGO	218962	NDORI	51	3059
HOMA BAY	SUBA	KIABUYA	219733	KIMANGE	48	3060
HOMA BAY	RACHUONYO NORTH	GOT OYARO	219399	NDUGA	47	3061
GARISSA	BALAMBALA	BALAMBALA	201428	OHIO	40	3062
HOMA BAY	HOMA BAY                                          	NYAWITA	219040	KIMANYI	25	3063
HOMA BAY	RACHUONYO NORTH	GOT OYARO	219400	NDWARA	35	3064
GARISSA	BALAMBALA	BALAMBALA	201429	OREHEY	20	3065
HOMA BAY	MBITA	LAMBWE	219125	GODJOPE	46	3066
HOMA BAY	SUBA	KIABUYA	219734	KIMORO	37	3067
HOMA BAY	HOMA BAY SUB COUNTY	KABUNDE	219004	NGERE	31	3068
GARISSA	GARISSA	GALBET	201485	RAYA	47	3069
HOMA BAY	RACHUONYO NORTH	KENDU	219449	GOGO	39	3070
HOMA BAY	SUBA	KIGOTO	219754	KINCHORORIO	25	3071
HOMA BAY	NDHIWA	KOBAMA	219245	NGERE KWABAI	50	3072
GARISSA	BALAMBALA	BALAMBALA	201431	SAKA JUNCTION	21	3073
HOMA BAY	HOMA BAY SUB COUNTY	KABUNDE	218999	GOGO KATUMA	25	3074
HOMA BAY	SUBA	SINDO	219794	KINGENYO	34	3075
HOMA BAY	SUBA	SINDO	219802	NGERI	43	3076
GARISSA	GARISSA	GALBET	201488	TUMAINI	55	3077
HOMA BAY	NDHIWA	KOBAMA	219239	GOT ADUNDO	20	3078
HOMA BAY	MBITA SUB COUNTY	MBITA WEST	219171	KIRAMBO	10	3079
HOMA BAY	HOMA BAY                                          	KENDU	219459	NGOCHE	38	3080
GARISSA	GARISSA	GALBET	201475	BULLA MZURI	57	3081
HOMA BAY	SUBA	KIGOTO	219749	GOT ADUNDO	36	3082
HOMA BAY	SUBA	NYAGWETHE	219774	KIRAMBO NYAGWETHE	49	3083
HOMA BAY	MBITA SUB COUNTY	MBITA EAST	219158	NGODHE DSC	27	3084
GARISSA	GARISSA	GALBET	201487	TETU	148	3085
GARISSA	GARISSA	WABERI	201505	SAMBUL	55	3086
GARISSA	BALAMBALA	BALAMBALA	201418	DANYERE	52	3087
GARISSA	LAGDERA	MODOGASHE	201559	BARFIN	45	3088
GARISSA	LAGDERA	MODOGASHE	201557	AFWEINE	40	3089
GARISSA	LAGDERA	MODOGASHE	201566	GOREALE	109	3090
GARISSA	LAGDERA	MODOGASHE	201577	TUG-DUB	35	3091
GARISSA	LAGDERA	MODOGASHE	201562	BULLO	18	3092
GARISSA	GARISSA	WABERI	201497	BULLA COLLEGE	63	3093
GARISSA	GARISSA	WABERI	201502	KORAKORA	31	3094
GARISSA	GARISSA	WABERI	201492	AL-FATAH	70	3095
HOMA BAY	SUBA	SINDO	219790	GOT KOMBUTO	32	3096
HOMA BAY	MBITA SUB COUNTY	LAMBWE	219126	GOT KOPOLO	15	3097
HOMA BAY	NDHIWA	KOBAMA	219240	GOT KOWITI	22	3098
HOMA BAY	HOMA BAY SUB COUNTY	NDIRU	219023	GOT LWALA	31	3099
HOMA BAY	HOMA BAY	NYAWITA	219038	GOT NYALGOSI	60	3100
HOMA BAY	MBITA SUB COUNTY	LAMBWE	219127	GOT NYASUMBI	20	3101
HOMA BAY	MBITA	LAMBWE	219128	GOT RATENG	59	3102
HOMA BAY	NDHIWA	KOBAMA	219241	GOT-KOJOWI	70	3103
HOMA BAY	HOMA BAY                                          	RANDUNG	219054	GUL KAGEMBE	59	3104
HOMA BAY	MBITA SUB COUNTY	MFANGANO	219193	GULWE	21	3105
HOMA BAY	RACHUONYO NORTH	GOT OYARO	219387	HAGGAI KOYIER	25	3106
HOMA BAY	HOMA BAY	URBAN/ASEGO	219093	Homa Bay Pr	67	3107
HOMA BAY	RACHUONYO NORTH	HOMA	219411	HOMA HILS	30	3108
HOMA BAY	RACHUONYO NORTH	HOMA	219412	HOMA LIME	38	3109
HOMA BAY	MBITA SUB COUNTY	RUSINGA	219226	NGODHE S.D.A	20	3110
HOMA BAY	SUBA	KIABUYA	219730	HON. JOHN .MBADI ONGORO	34	3111
HOMA BAY	MBITA SUB COUNTY	MBITA WEST	219172	KIRINDO	27	3112
HOMA BAY	RACHUONYO NORTH	GOT OYARO	219401	NGOU	46	3113
HOMA BAY	MBITA SUB COUNTY	MBITA EAST	219152	HOPE SPECIAL SCH. FOR M.H.CHILDREN WAONDO	10	3114
HOMA BAY	HOMA BAY	NYAWITA	219041	KIRONGO	79	3115
HOMA BAY	NDHIWA	NGUKU	219328	NGUKU	51	3116
HOMA BAY	RACHUONYO NORTH	HOMA	219413	JONYO	35	3117
HOMA BAY	MBITA SUB COUNTY	LAMBWE	219130	KISAKA	22	3118
HOMA BAY	RACHUONYO NORTH	KANDIEGE	219431	NGURA	40	3119
HOMA BAY	HOMA BAY                                          	NYAWITA	219039	KACHAR	36	3120
HOMA BAY	SUBA	NYAGWETHE	219775	KISAKU	41	3121
HOMA BAY	RACHUONYO NORTH	KANDIEGE	219432	NYABIAGE	36	3122
HOMA BAY	MBITA SUB COUNTY	MFANGANO	219194	KAGUNGU	21	3123
HOMA BAY	RACHUONYO NORTH	HOMA	219416	KISINDI	32	3124
HOMA BAY	SUBA	SINDO	219804	NYABOMO	21	3125
HOMA BAY	MBITA SUB COUNTY	RUSINGA	219222	KAKRIGU	38	3126
HOMA BAY	MBITA SUB COUNTY	MBITA EAST	219156	KITARE	22	3127
HOMA BAY	HOMA BAY                                          	KENDU	219460	NYABURI INTEGRATED	80	3128
HOMA BAY	MBITA SUB COUNTY	MFANGANO	219196	KAKRIGU MFANGANO	35	3129
HOMA BAY	SUBA	NYAGWETHE	219777	KITAWA	14	3130
HOMA BAY	SUBA	KIGOTO	219763	NYABWACHECHE	15	3131
HOMA BAY	MBITA SUB COUNTY	RUSINGA	219223	KAMASENGRE	42	3132
HOMA BAY	MBITA SUB COUNTY	MFANGANO	219197	KITENYI	40	3133
HOMA BAY	SUBA	SINDO	219805	NYADENDA	20	3134
HOMA BAY	MBITA SUB COUNTY	LAMBWE	219129	KAMATO	43	3135
HOMA BAY	SUBA	KIGOTO	219755	KITHEREKA	43	3136
HOMA BAY	HOMA BAY	KABUNDE	219005	NYAGIDHA	45	3137
HOMA BAY	MBITA SUB COUNTY	MBITA WEST	219170	KAMAYOGE	29	3138
HOMA BAY	SUBA	KIABUYA	219735	KIWA	33	3139
HOMA BAY	MBITA SUB COUNTY	MFANGANO	219203	NYAHERA	25	3140
HOMA BAY	HOMA BAY                                          	ASEGO	218950	KAMBEKE	20	3141
HOMA BAY	MBITA SUB COUNTY	MFANGANO	219198	KIWARI	10	3142
HOMA BAY	HOMA BAY	EAST KOCHIA	218987	NYAJANJA	22	3143
HOMA BAY	RACHUONYO NORTH	GOT OYARO	219391	KOBOO	40	3144
HOMA BAY	MBITA	MBITA EAST	219153	KAMGERE	34	3145
HOMA BAY	RACHUONYO NORTH	KENDU	219450	KAMOLO	20	3146
