County,Sub_County,Zone,School,No_of_Devices,FID
BARINGO COUNTY,KOIBATEK,KOIBATEK,ORINIE,47,1
BARINGO COUNTY,BARINGO NORTH,KABARTONJO,KALEL,38,2
BARINGO COUNTY,BARINGO NORTH,KABARTONJO,KAPKIAMO,32,3
BARINGO COUNTY,BARINGO CENTRAL,KABARNET,AIC VISA OSHWAL,179,4
BARINGO COUNTY,BARINGO NORTH,KABARTONJO,BARTARAGON,31,5
BARINGO COUNTY,KOIBATEK,KOIBATEK,SOLIAN,38,6
BARINGO COUNTY,MOGOTIO,SOI,ESAGERI AIC,29,7
BARINGO COUNTY,BARINGO NORTH,KABARTONJO,MOI KABARTONJO,48,8
BARINGO COUNTY,BARINGO NORTH,KABARTONJO,KOROSECHUN,14,9
BARINGO COUNTY,BARINGO,SALAWA,KIBOINO,74,10
BARINGO COUNTY,BARINGO NORTH,KABARTONJO,KASAKA,13,11
BARINGO COUNTY,Baringo Central,CHAPCHAP,KIPKAECH BOARDING,46,12
BARINGO COUNTY,BARINGO NORTH,KABARTONJO,MORMORIO,12,13
BARINGO COUNTY,East Pokot,AKIWICHATIS,NALEKAT,53,14
BARINGO COUNTY,BARINGO NORTH,KABARTONJO,KAPTUMIN,11,15
BARINGO COUNTY,Koibatek,ESAGERI,KABOR,28,16
BARINGO COUNTY,BARINGO NORTH,KABARTONJO,ROOT,9,17
BARINGO COUNTY,BARINGO NORTH,KABARTONJO,NUREGOI,9,18
BARINGO COUNTY,Marigat,MARIGAT,ELDUME,65,19
BARINGO COUNTY,KOIBATEK,LEMBUS,CHEMESUSU,17,20
BARINGO COUNTY,KOIBATEK,LEMBUS,KAMNG'OECH,28,21
BARINGO COUNTY,KOIBATEK,LEMBUS,LALUT,26,22
BARINGO COUNTY,KOIBATEK,LEMBUS,MORINGWO,8,23
BARINGO COUNTY,Mogotio,CHEBEREN,KIMNGOROM,31,24
BARINGO COUNTY,BARINGO NORTH,KIPSARAMAN,KIBIRIOKWONIN,49,25
BARINGO COUNTY,KOIBATEK,LEMBUS,TAMKET,13,26
BARINGO COUNTY,BARINGO NORTH,KIPSARAMAN,KIPSARAMAN,40,27
BARINGO COUNTY,Baringo North,BARTABWA,ATIAR,50,28
BARINGO COUNTY,KOIBATEK,LEMBUS,KIPKUYANG,21,29
BARINGO COUNTY,BARINGO NORTH,KIPSARAMAN,BARTOLIMO,25,30
BARINGO COUNTY,KOIBATEK,LEMBUS,KAPTIM,25,31
BARINGO COUNTY,KOIBATEK,LEMBUS,KAPCHOLOI,32,32
BARINGO COUNTY,KOIBATEK,MUMBERES,EMKWEN,17,33
BARINGO COUNTY,KOIBATEK,MUMBERES,KAPRORWA,25,34
BARINGO COUNTY,KOIBATEK,MUMBERES,KAPSOIT,35,35
BARINGO COUNTY,KOIBATEK,MUMBERES,LELGEL,35,36
BARINGO COUNTY,KOIBATEK,MUMBERES,MUMBERES,32,37
BARINGO COUNTY,KOIBATEK,MUMBERES,TULWAMOI,30,38
BARINGO COUNTY,KOIBATEK,RAVINE,BENONIN,22,39
BARINGO COUNTY,KOIBATEK,RAVINE,SOGONIN,18,40
BARINGO COUNTY,KOIBATEK,RAVINE,GITHIORO,2,41
BARINGO COUNTY,BARINGO CENTRAL,NGOLONG,KAPKOKWON,43,42
BARINGO COUNTY,KOIBATEK,RAVINE,TONIOK,8,43
BARINGO COUNTY,BARINGO CENTRAL,KABARNET,BOKORIN,20,44
BARINGO COUNTY,BARINGO NORTH,KIPSARAMAN,KAPCHEPKISA,25,45
BARINGO COUNTY,MOGOTIO,KISANANA/NGELELO,KISANANA,48,46
BARINGO COUNTY,BARINGO NORTH,KIPSARAMAN,KELWONDONIN,24,47
BARINGO COUNTY,BARINGO CENTRAL,KABARNET,BOROWONIN,13,48
BARINGO COUNTY,BARINGO CENTRAL,KABARNET,KAMGOIN,26,49
BARINGO COUNTY,BARINGO NORTH,KIPSARAMAN,POI DAY/BOARDING,22,50
BARINGO COUNTY,KOIBATEK,RAVINE,CHERAIK,8,51
BARINGO COUNTY,MOGOTIO,KISANANA/NGELELO,KIRIBOT,38,52
BARINGO COUNTY,KOIBATEK,RAVINE,CHEPTILILIK,18,53
BARINGO COUNTY,BARINGO NORTH,KIPSARAMAN,KASOK,21,54
BARINGO COUNTY,BARINGO CENTRAL,KABARNET,KETUNDUI,20,55
BARINGO COUNTY,BARINGO NORTH,TIRIMIONIN,KAPKOMBE,24,56
BARINGO COUNTY,BARINGO NORTH,TIRIMIONIN,EMBO-RUTO,21,57
BARINGO COUNTY,BARINGO CENTRAL,KABARNET,TILELON,12,58
BARINGO COUNTY,BARINGO NORTH,KIPSARAMAN,MONDOI,20,59
BARINGO COUNTY,MOGOTIO,KISANANA/NGELELO,WASEGES,35,60
BARINGO COUNTY,KOIBATEK,RAVINE,SINENDE,22,61
BARINGO COUNTY,MOGOTIO,KISANANA/NGELELO,KABUSWO,24,62
BARINGO COUNTY,BARINGO NORTH,KIPSARAMAN,TERIK,17,63
BARINGO COUNTY,BARINGO CENTRAL,KABARNET,Seguton Hill,51,64
BARINGO COUNTY,BARINGO NORTH,TIRIMIONIN,KAPCHEPKOR,21,65
BARINGO COUNTY,KOIBATEK,RAVINE,KABIYET,30,66
BARINGO COUNTY,KOIBATEK,LEMBUS,SIGORO,55,67
BARINGO COUNTY,KOIBATEK,RAVINE,JONATHAN K. MOI KABURWO,30,68
BARINGO COUNTY,MARIGAT  SUB-COUNTY,MARIGAT,CHEPKOTOYAN,30,69
BARINGO COUNTY,KOIBATEK,SEGUTON,KAMURA,42,70
BARINGO COUNTY,KOIBATEK,SEGUTON,KIRIMA,30,71
BARINGO COUNTY,MARIGAT  SUB-COUNTY,MARIGAT,CHEPLOCH,21,72
BARINGO COUNTY,MARIGAT  SUB-COUNTY,MARIGAT,KAILER,27,73
BARINGO COUNTY,KOIBATEK,SEGUTON,NYAKIO,71,74
BARINGO COUNTY,KOIBATEK,SEGUTON,SIGOWET,35,75
BARINGO COUNTY,MARIGAT  SUB-COUNTY,MARIGAT,KOKWA ISLAND,30,76
BARINGO COUNTY,BARINGO NORTH,TIRIMIONIN,KAPTERE,20,77
BARINGO COUNTY,BARINGO CENTRAL,KABARNET,KAPKONY,7,78
BARINGO COUNTY,BARINGO NORTH,KIPSARAMAN,TOROKWONIN,13,79
BARINGO COUNTY,MOGOTIO,KISANANA/NGELELO,CHOMIEK,17,80
BARINGO COUNTY,MARIGAT  SUB-COUNTY,MARIGAT,LOBOI,27,81
BARINGO COUNTY,KOIBATEK,SEGUTON,TAMBARAS,50,82
BARINGO COUNTY,BARINGO CENTRAL,KABARNET,KIMAGOK,7,83
BARINGO COUNTY,BARINGO NORTH,KIPSARAMAN,KABARGOGE,10,84
