Urban_centre,Total_population,Core_urban_population,Peri_urban_population,Sex_ratio,co-ordinates,OBJECTID
Ahero,54194,8362,45832,92,"(-0.156472052, 34.922629149999999)",0
Archers Post,6123,2683,3440,106,"(0.64069109999999996, 37.6491483)",1
Awendo,108742,17909,90833,94,"(-0.89444667099999997, 34.536880379999999)",2
Baragoi,7926,4628,3298,91,"(1.786392475, 36.79148971)",3
Bissil,5345,5345,0,87,"(-2.0938024999999998, 36.773857700000001)",4
Bomet,83440,6742,76698,98,"(-0.76932068200000003, 35.350992400000003)",5
Bondo,33197,14478,18719,91,"(-0.085401447000000005, 34.274145799999999)",6
Bungoma,54469,54469,0,95,"(0.57052329300000004, 34.553402609999999)",7
Busia,50099,39076,11023,92,"(0.46839013400000001, 34.104836429999999)",8
Butere,12503,4448,8055,88,"(0.21676480000000001, 34.475354799999998)",9
Chemelili,7947,7947,0,121,"(-0.083294365999999995, 35.127056930000002)",10
Chogoria,28530,6434,22096,100,"(-0.22342748200000001, 37.616568299999997)",11
Chuka,43064,7614,35450,96,"(-0.32020847200000002, 37.63234044)",12
Daadab,5624,5624,0,115,"(0.072505391000000002, 40.292492529999997)",13
Dundori,5187,5187,0,93,"(-0.25499212700000001, 36.214237339999997)",14
Elburgon,32578,29556,3022,103,"(-0.28157210399999999, 35.82513865)",15
Eldama Ravine,17610,17610,0,93,"(0.064113268000000001, 35.736758950000002)",16
Eldoret,312351,247500,64851,101,"(0.53455652600000003, 35.277539900000001)",17
Elwak,41009,28069,12940,114,"(2.8121946379999998, 40.928257410000001)",18
Emali,7024,7024,0,99,"(-2.074125134, 37.474547190000003)",19
Embu,59428,34825,24603,95,"(-0.52391577199999995, 37.446227589999999)",20
Engineer,5139,5139,0,89,"(-0.60646290000000003, 36.574827399999997)",21
Garissa,115744,109224,6520,106,"(-0.44361610899999998, 39.629065050000001)",22
Gatundu,5418,5418,0,87,"(-1.0129638999999999, 36.897357599999999)",23
Gilgil,39016,39016,0,118,"(-0.50177810499999997, 36.310699159999999)",24
Githiga,5184,5184,0,98,"(-1.0847271999999999, 36.727187700000002)",25
Githunguri,10062,10062,0,93,"(-1.047026469, 36.779628180000003)",26
Habaswein,8280,8280,0,114,"(1.0059288239999999, 39.462802799999999)",27
Hola,17124,11492,5632,94,"(-1.4845347120000001, 39.992156369999996)",28
Homa Bay,59165,28593,30572,91,"(-0.51342902499999998, 34.46228764)",29
Isinya,8791,8791,0,117,"(-1.6716397000000001, 36.838065)",30
Isiolo,46578,43746,2832,95,"(0.35739431300000002, 37.571235850000001)",31
Iten/Tambach,44513,9012,35501,95,"(0.68984582100000003, 35.512455490000001)",32
Juja,42665,40183,2482,103,"(-1.100064065, 37.008617870000002)",33
Kabarnet,25954,17269,8685,87,"(0.505474533, 35.760028669999997)",34
Kajiado,14434,14205,229,99,"(-1.8315455519999999, 36.789316700000001)",35
Kakamega,90670,67170,23500,98,"(0.29121598399999998, 34.750314879999998)",36
Kakuma,36494,31581,4913,109,"(3.7107208800000002, 34.881240349999999)",37
Kaloleni,5474,5474,0,99,"(-3.8156876, 39.617939900000003)",38
Kandara,12889,0,12889,93,"(-0.87894349299999996, 36.984498909999999)",39
Kangundo-Tala,218722,13119,205603,98,"(-1.2877069160000001, 37.330792109999997)",40
Kapenguria,36379,20456,15923,97,"(1.2442777, 35.097734500000001)",41
Kapsabet,87850,23303,64547,98,"(0.22172877399999999, 35.110666889999997)",42
Kapsokwony,6116,3663,2453,96,"(0.85559018600000003, 34.709471890000003)",43
Kapsowar,7401,7401,0,96,"(1.0006880979999999, 35.567031229999998)",44
Karatina,13467,8362,5105,83,"(-0.47184445699999999, 37.117380070000003)",45
Karuri,115731,107754,7977,99,"(-1.157293323, 36.74030226)",46
Katito,7840,3067,4773,89,"(-0.26996690000000001, 34.969609400000003)",47
Kehancha,29521,29521,0,100,"(-1.1632019339999999, 34.614751599999998)",48
Kendu Bay,16030,5213,10817,92,"(-0.34699610800000003, 34.649178089999999)",49
Kericho,127042,40813,86229,102,"(-0.353571784, 35.28978755)",50
Keroka,49853,6949,42904,90,"(-0.759323847, 34.95244804)",51
Kerugoya/Kutus,35343,20121,15222,93,"(-0.47068684100000002, 37.242933059999999)",52
Kiambu,83265,75203,8062,96,"(-1.1568853130000001, 36.828366289999998)",53
