COUNTY,WARD,ZONE,PROJECT_NAME,STATUS,DATE,OBJECTID
Kisumu,West Kisumu,Huma market,"Supply, installation & commissioning of 8 No. 30m High mast flood lights ",100 % Complete,May-31-2015,0
Kisumu,North west ksm,Daraja Mbili market,"Supply, installation & commissioning of 8 No. 30m High mast flood lights ",100% Complete,May-31-2015,1
Kisumu,West Seme,Akado market ,"Supply, installation & commissioning of 8 No. 30m High mast flood lights ",100 % Complete,May-31-2015,2
Kisumu,Kobura,Korowe market ,"Supply, installation & commissioning of 8 No. 30m High mast flood lights ",100 % Complete,May-31-2015,3
Kisumu,Kobura,Rabour market ,"Supply, installation & commissioning of 8 No. 30m High mast flood lights ",100 % Complete,May-31-2015,4
Kisumu,Chemelil/Tamu,Chemelil Market ,"Supply, installation & commissioning of 8 No. 30m High mast flood lights ",100 % Complete,May-31-2015,5
Kisumu,East Kolwa,Orongo market ,"Supply, installation & commissioning of 8 No. 30m High mast flood lights ",100 % Complete,May-31-2015,6
Kisumu,Central Seme,Kombewa market,"Supply, installation & commissioning of 8 No. 30m High mast flood lights ",100 % Complete,May-31-2015,7
Kisumu,South East-Nyakach ,Nyakach Water,"Supply, installation & Testing of pumps motor and array of solar panels ",80% Complete,May-31-2015,8
Kisumu,South West-Nyakach,Andingo Rongo Dispensary ,Installation of Service line,100 % Complete,May-31-2015,9
Kisumu,South West-Nyakach,Alara Border market ,Installation of Service line,100 % Complete,May-31-2015,10
Kisumu,Muhoroni/Koru,Jaber dispensary ,Installation of Service line,100 % Complete,May-31-2015,11
Kisumu,Muhoroni/Koru,Cheptuyet dispensary  ,Installation of Service line,100 % Complete,May-31-2015,12
Kisumu,North Nyakach,Rae Rice mil,Installation of Service line,100 % Complete,May-31-2015,13
Kisumu,All Wards,Country Wide,Mining Inventory/GIS mapping,100 % Complete,May-31-2015,14
Kisumu,North Nyakach,Katito market market ,Construction of 20m High mast flood lights,100 % Complete awaiting Power Connection,May-31-2016,15
Kisumu,Awasi Onjiko,Awasi market ,Construction of 20m High mast flood lights,100 % Complete awaiting Power Connection,May-31-2016,16
Kisumu,West Nyakach,Nyakwere market ,Construction of 20m High mast flood lights,100 % Complete awaiting Power Connection,May-31-2016,17
Kisumu,Masogonyang�oma,Masogo market ,Construction of 20m High mast flood lights,100 % Complete awaiting Power Connection,May-31-2016,18
Kisumu,Miwani,Jua Kali market,Construction of 20m High mast flood lights,100 % Complete awaiting Power Connection,May-31-2016,19
Kisumu,South West-Kisumu,Obambo market ,Construction of 15m High mast flood lights,100 % Complete,May-31-2016,20
Kisumu,North Seme,Bar market ,Construction of 15m High mast flood lights,100 % Complete,May-31-2016,21
Kisumu,Kobura,Okana market ,Construction of 15m High mast flood lights,100 % Complete,May-31-2016,22
Kisumu,Market Milimani,Ondiek ground,Construction of 15m High mast flood lights,100 % Complete,May-31-2016,23
