,address,cars,bluecar_counter,utilib_counter,utilib_1.4_counter,charge_slots,charging_status,city,id,kind,geo_point,postal_code,public_name,rental_status,slots,station_type,year,month,day,hour,minute
0,2 avenue de suffren,0,0,0,0,0,nonexistent,paris,paris-suffren-2,station,"48.857, 2.2917",75015,paris/suffren/2,operational,2,station,2018,4,8,11,43
1,145 rue raymond losserand,6,6,0,0,0,operational,paris,paris-raymondlosserand-145,station,"48.83126, 2.313088",75014,paris/raymond losserand/145,operational,0,station,2018,4,6,7,24
2,2 avenue john fitzgerald kennedy,3,3,0,2,0,operational,le bourget,lebourget-johnfitzgeraldkennedy-2,station,"48.938103, 2.4286035",93350,le bourget/john fitzgerald kennedy/2,operational,1,station,2018,4,3,20,14
3,51 rue eugã¨ne oudinã©,3,3,1,0,1,operational,paris,paris-eugeneoudine-51,station,"48.8250327, 2.3725162",75013,paris/eugã¨ne oudinã©/51,operational,2,station,2018,4,4,4,37
4,6 avenue de la porte de champerret,3,3,0,0,0,nonexistent,paris,paris-portedechamperret-6,parking,"48.8862632, 2.2874511",75017,paris/porte de champerret/6,operational,3,station,2018,4,8,17,23
5,8 boulevard voltaire,0,0,0,0,0,nonexistent,paris,paris-voltaire-8,station,"48.8657658, 2.3664376",75011,paris/voltaire/8,operational,4,station,2018,4,6,7,2
6,37 rue leblanc,0,0,0,0,0,nonexistent,paris,paris-citroencevennes-parking,parking,"48.83874, 2.27641",75015,paris/citroã«n cã©vennes/parking,broken,0,station,2018,4,8,18,20
7,17 rue des luaps prolongã©e,3,3,1,0,0,nonexistent,nanterre,nanterre-luaps-17,station,"48.88069, 2.21063",92000,nanterre/luaps/17,operational,0,station,2018,4,4,22,13
8,34 avenue jean moulin,1,1,0,0,0,nonexistent,paris,paris-jeanmoulin-34,station,"48.8266807, 2.3237355",75014,paris/jean moulin/34,operational,4,station,2018,4,2,22,58
9,41 boulevard de rochechouart,6,6,0,0,0,nonexistent,paris,paris-anvers-parking,parking,"48.88267, 2.34405",75009,paris/anvers/parking,operational,0,station,2018,4,4,15,2
10,14 rue censier,0,0,0,0,2,operational,paris,paris-censier-14,station,"48.8411067, 2.3544235",75005,paris/censier/14,operational,6,station,2018,4,1,4,39
