,country,year,own_account,location_type,phone_access,household_size,respondent_age,gender,head_relation,marital_status,education_level,job_type
0,Kenya,2018,Yes,Rural,Yes,3.0,24.0,Female,Spouse,Married/Living together,Secondary education,Self employed
1,Kenya,2018,No,Rural,No,5.0,70.0,Female,Head of Household,Widowed,No formal education,Government Dependent
2,Kenya,2018,Yes,Urban,Yes,5.0,26.0,Male,Other relative,Single/Never Married,Vocational/Specialised training,Self employed
3,Kenya,2018,No,Rural,Yes,5.0,34.0,Female,Head of Household,Married/Living together,Primary education,Formally employed Private
4,Kenya,2018,No,Urban,No,8.0,26.0,Male,Child,Single/Never Married,Primary education,Informally employed
5,Kenya,2018,No,Rural,No,7.0,26.0,Female,Spouse,Married/Living together,Primary education,Informally employed
6,Kenya,2018,No,Rural,Yes,7.0,32.0,Female,Spouse,Married/Living together,Primary education,Self employed
7,Kenya,2018,No,Rural,Yes,1.0,42.0,Female,Head of Household,Married/Living together,Tertiary education,Formally employed Government
8,Kenya,2018,Yes,Rural,Yes,3.0,54.0,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
9,Kenya,2018,No,Urban,Yes,3.0,76.0,Female,Head of Household,Divorced/Seperated,No formal education,Remittance Dependent
10,Kenya,2018,No,Rural,Yes,5.0,40.0,Female,Head of Household,Married/Living together,Secondary education,Farming and Fishing
11,Kenya,2018,Yes,Rural,Yes,3.0,69.0,Male,Head of Household,Married/Living together,Secondary education,Other Income
12,Kenya,2018,No,Rural,No,6.0,64.0,Female,Head of Household,Widowed,No formal education,Farming and Fishing
13,Kenya,2018,No,Rural,No,8.0,31.0,Female,Spouse,Married/Living together,Primary education,Self employed
14,Kenya,2018,No,Urban,Yes,4.0,26.0,Male,Head of Household,Married/Living together,Primary education,Informally employed
15,Kenya,2018,No,Rural,Yes,7.0,38.0,Male,Head of Household,Married/Living together,Primary education,Informally employed
16,Kenya,2018,No,Urban,Yes,1.0,47.0,Female,Head of Household,Married/Living together,Secondary education,Self employed
17,Kenya,2018,Yes,Rural,Yes,6.0,27.0,Female,Head of Household,Married/Living together,Secondary education,Self employed
18,Kenya,2018,No,Urban,Yes,1.0,48.0,Female,Head of Household,Single/Never Married,Vocational/Specialised training,Formally employed Private
19,Kenya,2018,No,Rural,No,4.0,25.0,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
20,Kenya,2018,No,Rural,Yes,4.0,26.0,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
21,Kenya,2018,Yes,Urban,Yes,1.0,32.0,Male,Head of Household,Single/Never Married,Vocational/Specialised training,Self employed
22,Kenya,2018,No,Urban,Yes,4.0,34.0,Female,Spouse,Married/Living together,Secondary education,Self employed
23,Kenya,2018,No,Rural,Yes,3.0,21.0,Female,Spouse,Married/Living together,Secondary education,Informally employed
24,Kenya,2018,No,Urban,No,7.0,18.0,Male,Other relative,Single/Never Married,Secondary education,Remittance Dependent
25,Kenya,2018,No,Rural,Yes,5.0,22.0,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
26,Kenya,2018,No,Rural,No,8.0,26.0,Male,Child,Married/Living together,Primary education,Self employed
27,Kenya,2018,No,Urban,Yes,1.0,31.0,Female,Head of Household,Single/Never Married,Primary education,Informally employed
28,Kenya,2018,No,Rural,Yes,4.0,26.0,Male,Head of Household,Married/Living together,Primary education,Formally employed Private
29,Kenya,2018,No,Rural,No,7.0,58.0,Female,Head of Household,Widowed,No formal education,Remittance Dependent
30,Kenya,2018,No,Urban,Yes,5.0,55.0,Male,Head of Household,Married/Living together,Secondary education,Informally employed
31,Kenya,2018,No,Urban,Yes,5.0,38.0,Male,Head of Household,Married/Living together,Secondary education,Self employed
32,Kenya,2018,Yes,Urban,Yes,4.0,62.0,Female,Spouse,Married/Living together,Primary education,Formally employed Government
33,Kenya,2018,No,Rural,Yes,3.0,29.0,Female,Head of Household,Married/Living together,Primary education,Remittance Dependent
34,Kenya,2018,No,Rural,Yes,10.0,42.0,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
35,Kenya,2018,No,Rural,Yes,5.0,48.0,Female,Head of Household,Widowed,Primary education,Informally employed
36,Kenya,2018,No,Rural,Yes,4.0,35.0,Male,Head of Household,Married/Living together,Primary education,Informally employed
37,Kenya,2018,No,Rural,Yes,5.0,45.0,Male,Head of Household,Married/Living together,Primary education,Informally employed
38,Kenya,2018,No,Rural,Yes,8.0,45.0,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
39,Kenya,2018,No,Rural,No,3.0,70.0,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
40,Kenya,2018,No,Rural,Yes,6.0,67.0,Male,Head of Household,Divorced/Seperated,Primary education,Farming and Fishing
41,Kenya,2018,No,Urban,Yes,4.0,19.0,Female,Other relative,Single/Never Married,Secondary education,Remittance Dependent
42,Kenya,2018,Yes,Rural,Yes,3.0,80.0,Male,Head of Household,Widowed,Primary education,Remittance Dependent
43,Kenya,2018,No,Rural,Yes,2.0,66.0,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
44,Kenya,2018,No,Urban,No,1.0,31.0,Male,Head of Household,Single/Never Married,Primary education,Formally employed Private
45,Kenya,2018,No,Rural,Yes,1.0,50.0,Female,Head of Household,Single/Never Married,Primary education,Self employed
46,Kenya,2018,No,Rural,No,3.0,29.0,Female,Head of Household,Single/Never Married,Primary education,Informally employed
47,Kenya,2018,No,Rural,Yes,4.0,33.0,Male,Head of Household,Married/Living together,Vocational/Specialised training,Farming and Fishing
48,Kenya,2018,No,Urban,Yes,4.0,28.0,Female,Child,Married/Living together,Vocational/Specialised training,Self employed
49,Kenya,2018,No,Urban,Yes,3.0,28.0,Male,Child,Single/Never Married,Secondary education,Farming and Fishing
50,Kenya,2018,No,Urban,Yes,3.0,26.0,Female,Head of Household,Divorced/Seperated,Secondary education,Informally employed
51,Kenya,2018,No,Urban,Yes,2.0,51.0,Female,Head of Household,Single/Never Married,Secondary education,Self employed
52,Kenya,2018,No,Urban,No,5.0,16.0,Female,Other relative,Single/Never Married,Primary education,Remittance Dependent
53,Kenya,2018,No,Rural,Yes,2.0,17.0,Male,Other relative,Single/Never Married,Secondary education,Remittance Dependent
54,Kenya,2018,Yes,Urban,Yes,1.0,22.0,Female,Head of Household,Single/Never Married,Secondary education,Self employed
55,Kenya,2018,No,Rural,Yes,3.0,66.0,Female,Head of Household,Widowed,Primary education,Farming and Fishing
56,Kenya,2018,Yes,Rural,Yes,6.0,50.0,Male,Head of Household,Married/Living together,Vocational/Specialised training,Formally employed Government
57,Kenya,2018,No,Urban,Yes,4.0,33.0,Male,Head of Household,Married/Living together,Primary education,Informally employed
58,Kenya,2018,No,Rural,Yes,10.0,21.0,Male,Child,Single/Never Married,Other/Dont know/RTA,Informally employed
59,Kenya,2018,No,Rural,Yes,5.0,30.0,Female,Spouse,Married/Living together,Secondary education,Informally employed
60,Kenya,2018,No,Rural,Yes,8.0,30.0,Female,Head of Household,Divorced/Seperated,Primary education,Self employed
61,Kenya,2018,No,Rural,No,1.0,67.0,Female,Head of Household,Widowed,No formal education,Informally employed
62,Kenya,2018,No,Rural,Yes,3.0,50.0,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
63,Kenya,2018,Yes,Urban,Yes,1.0,25.0,Female,Head of Household,Single/Never Married,Tertiary education,Remittance Dependent
64,Kenya,2018,No,Rural,Yes,6.0,25.0,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
65,Kenya,2018,No,Urban,No,3.0,30.0,Female,Spouse,Married/Living together,Primary education,Informally employed
66,Kenya,2018,No,Rural,No,1.0,37.0,Male,Head of Household,Divorced/Seperated,Primary education,Informally employed
67,Kenya,2018,Yes,Urban,Yes,1.0,30.0,Female,Head of Household,Married/Living together,Primary education,Self employed
68,Kenya,2018,No,Urban,No,5.0,28.0,Female,Child,Single/Never Married,Primary education,Informally employed
69,Kenya,2018,Yes,Urban,Yes,1.0,30.0,Male,Head of Household,Single/Never Married,Secondary education,Formally employed Private
70,Kenya,2018,No,Rural,Yes,2.0,59.0,Female,Head of Household,Single/Never Married,Vocational/Specialised training,Informally employed
71,Kenya,2018,No,Urban,Yes,5.0,29.0,Male,Head of Household,Married/Living together,Secondary education,Informally employed
72,Kenya,2018,No,Rural,No,4.0,31.0,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
73,Kenya,2018,No,Urban,Yes,3.0,27.0,Female,Spouse,Married/Living together,Secondary education,Remittance Dependent
74,Kenya,2018,Yes,Rural,Yes,4.0,55.0,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
75,Kenya,2018,No,Urban,Yes,4.0,34.0,Male,Head of Household,Married/Living together,Primary education,Informally employed
76,Kenya,2018,No,Urban,No,4.0,17.0,Male,Other relative,Single/Never Married,Secondary education,Remittance Dependent
77,Kenya,2018,No,Urban,No,3.0,21.0,Female,Spouse,Married/Living together,Vocational/Specialised training,Informally employed
78,Kenya,2018,No,Urban,Yes,5.0,37.0,Female,Head of Household,Divorced/Seperated,Secondary education,Informally employed
79,Kenya,2018,No,Rural,No,4.0,42.0,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
80,Kenya,2018,No,Rural,No,8.0,40.0,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
81,Kenya,2018,No,Rural,No,4.0,17.0,Male,Child,Single/Never Married,Secondary education,Remittance Dependent
82,Kenya,2018,No,Urban,No,4.0,65.0,Female,Spouse,Married/Living together,No formal education,Informally employed
83,Kenya,2018,No,Rural,Yes,7.0,18.0,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
84,Kenya,2018,No,Urban,Yes,3.0,34.0,Female,Head of Household,Single/Never Married,Vocational/Specialised training,Informally employed
85,Kenya,2018,No,Rural,Yes,4.0,46.0,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
86,Kenya,2018,Yes,Urban,Yes,1.0,54.0,Male,Head of Household,Single/Never Married,Primary education,Informally employed
87,Kenya,2018,No,Urban,Yes,4.0,27.0,Female,Head of Household,Married/Living together,Primary education,Informally employed
88,Kenya,2018,No,Rural,Yes,4.0,21.0,Female,Child,Single/Never Married,Primary education,Informally employed
89,Kenya,2018,No,Rural,No,4.0,64.0,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
90,Kenya,2018,No,Rural,Yes,3.0,56.0,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
91,Kenya,2018,No,Rural,No,6.0,40.0,Male,Head of Household,Divorced/Seperated,Primary education,Farming and Fishing
92,Kenya,2018,Yes,Urban,Yes,10.0,21.0,Female,Parent,Single/Never Married,Tertiary education,Remittance Dependent
93,Kenya,2018,No,Rural,Yes,9.0,18.0,Male,Other relative,Single/Never Married,Secondary education,Remittance Dependent
94,Kenya,2018,Yes,Rural,Yes,1.0,42.0,Male,Head of Household,Divorced/Seperated,Secondary education,Farming and Fishing
95,Kenya,2018,No,Rural,No,2.0,22.0,Male,Child,Single/Never Married,Primary education,Remittance Dependent
96,Kenya,2018,No,Rural,Yes,8.0,52.0,Female,Spouse,Married/Living together,Primary education,Informally employed
97,Kenya,2018,No,Urban,Yes,6.0,35.0,Female,Spouse,Married/Living together,Primary education,Informally employed
98,Kenya,2018,No,Rural,Yes,2.0,64.0,Female,Head of Household,Widowed,Primary education,Remittance Dependent
99,Kenya,2018,Yes,Urban,Yes,5.0,42.0,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
100,Kenya,2018,No,Urban,Yes,10.0,23.0,Female,Other relative,Divorced/Seperated,Primary education,Formally employed Private
101,Kenya,2018,No,Rural,Yes,1.0,42.0,Male,Head of Household,Married/Living together,Vocational/Specialised training,Informally employed
102,Kenya,2018,No,Urban,Yes,2.0,27.0,Male,Head of Household,Married/Living together,Secondary education,Formally employed Government
103,Kenya,2018,No,Rural,Yes,2.0,43.0,Male,Head of Household,Married/Living together,Primary education,Informally employed
104,Kenya,2018,Yes,Urban,No,4.0,16.0,Female,Other relative,Single/Never Married,Secondary education,Remittance Dependent
105,Kenya,2018,Yes,Urban,Yes,4.0,26.0,Male,Other relative,Single/Never Married,Secondary education,Informally employed
106,Kenya,2018,No,Rural,No,4.0,19.0,Female,Spouse,Married/Living together,Primary education,Informally employed
107,Kenya,2018,Yes,Rural,Yes,6.0,49.0,Male,Head of Household,Married/Living together,Tertiary education,Formally employed Government
108,Kenya,2018,No,Urban,Yes,9.0,44.0,Female,Head of Household,Married/Living together,No formal education,Self employed
109,Kenya,2018,No,Urban,Yes,1.0,30.0,Female,Head of Household,Single/Never Married,Primary education,Self employed
110,Kenya,2018,No,Rural,No,3.0,16.0,Female,Child,Single/Never Married,Primary education,Remittance Dependent
111,Kenya,2018,No,Urban,Yes,7.0,50.0,Female,Spouse,Married/Living together,Vocational/Specialised training,Farming and Fishing
112,Kenya,2018,No,Rural,Yes,2.0,30.0,Male,Head of Household,Married/Living together,Primary education,Formally employed Private
